director_name,actor_1_name,actor_2_name,movie_title,budget,imdb_score
Scott Derrickson,Keanu Reeves,Jon Hamm,The Day the Earth Stood Still ,80000000,5.5
Scott Derrickson,Keanu Reeves,Jon Hamm,The Day the Earth Stood Still ,80000000,5.5
Karen Moncrieff,James Franco,Bruce Davison,The Dead Girl ,,6.7
Matthew R. Anderson,Johnny Pacar,Vernon Wells,The Dead Undead ,1100000,3
David Cronenberg,Tom Skerritt,Herbert Lom,The Dead Zone ,10000000,7.2
,David Ogden Stiers,Nicole de Boer,The Dead Zone             ,,7.5
John Herzfeld,Paul Walker,Olivia Wilde,The Death and Life of Bobby Z ,22000000,5.9
John Madden,Tom Wilkinson,Jesper Christensen,The Debt ,20000000,6.9
Ulu Grosbard,Alexa PenaVega,Treat Williams,The Deep End of the Ocean ,40000000,6.3
Michael Cimino,Robert De Niro,Meryl Streep,The Deer Hunter ,15000000,8.2
Martin Scorsese,Leonardo DiCaprio,Matt Damon,The Departed ,90000000,8.5
Lance Kawas,Taylor Negron,Michael Rapaport,The Deported ,3000000,6.2
Alexander Payne,Shailene Woodley,Nick Krause,The Descendants ,20000000,7.3
Neil Marshall,MyAnna Buring,Shauna Macdonald,The Descent ,3500000,7.2
William Brent Bell,Fernanda Andrade,Claudiu Trandafir,The Devil Inside ,1000000,4.2
David Frankel,Meryl Streep,Anne Hathaway,The Devil Wears Prada ,35000000,6.8
Taylor Hackford,Keanu Reeves,Al Pacino,The Devil's Advocate ,57000000,7.5
Lee Tamahori,Mem Ferda,Dominic Cooper,The Devil's Double ,15000000,7.1
Alan J. Pakula,Harrison Ford,Brad Pitt,The Devil's Own ,86000000,6.1
Rob Zombie,Sid Haig,Ken Foree,The Devil's Rejects ,7000000,6.9
Jason Connery,Ray Winstone,Henry Rollins,The Devil's Tomb ,10000000,3.8
Marielle Heller,Alexander Skarsgård,David Fine,The Diary of a Teenage Girl ,2000000,6.9
Larry Charles,Sayed Badreya,Aasif Mandvi,The Dictator ,65000000,6.4
Ron Howard,Channing Tatum,Clint Howard,The Dilemma ,70000000,5.3
Matt Johnson,Paul Daniel Ayotte,Shailene Garnett,The Dirties ,,6.7
Xavier Gens,Michael Biehn,Lauren German,The Divide ,3000000,5.8
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,The Diving Bell and the Butterfly ,,8
Alex Ranarivelo,Lea Thompson,Christina Moore,The Dog Lover ,2000000,4.8
,Peter Vaughan,George Coulouris,The Doombolt Chase             ,,7.2
Oliver Stone,Michael Wincott,Kevin Dillon,The Doors ,38000000,7.2
Alex van Warmerdam,Rijk de Gooyer,Ariane Schluter,The Dress ,2650000,7
Saul Dibb,Dominic Cooper,Hayley Atwell,The Duchess ,13500000,6.9
Ari Sandel,Bella Thorne,Romany Malco,The DUFF ,8500000,6.5
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,The Dukes of Hazzard ,50000000,5.1
Zal Batmanglij,Alexander Skarsgård,Julia Ormond,The East ,6500000,6.9
Conor McPherson,Aidan Quinn,Iben Hjejle,The Eclipse ,,6.2
Lee Tamahori,Anthony Hopkins,Harold Perrineau,The Edge ,,6.9
Michael Curtiz,Gene Tierney,Peter Ustinov,The Egyptian ,5000000,6.6
David Lynch,Anthony Hopkins,Anne Bancroft,The Elephant Man ,5000000,8.2
Michael Hoffman,Gabriel Millman,Embeth Davidtz,The Emperor's Club ,12500000,6.9
Mark Dindal,Eartha Kitt,Wendie Malick,The Emperor's New Groove ,100000000,7.3
Neil Jordan,Stephen Rea,Ian Hart,The End of the Affair ,23000000,7.2
Anthony Minghella,Colin Firth,Kristin Scott Thomas,The English Patient ,27000000,7.4
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,The Equalizer ,55000000,7.2
Sam Raimi,Ted Raimi,Betsy Baker,The Evil Dead ,375000,7.6
Scott Derrickson,Tom Wilkinson,Colm Feore,The Exorcism of Emily Rose ,20000000,6.7
William Friedkin,Ellen Burstyn,Linda Blair,The Exorcist ,8000000,8
Sylvester Stallone,Jason Statham,Sylvester Stallone,The Expendables ,80000000,6.5
Simon West,Jason Statham,Sylvester Stallone,The Expendables 2,92000000,6.7
Patrick Hughes,Jason Statham,Sylvester Stallone,The Expendables 3,90000000,6.1
Bradley Rust Gray,Zoe Kazan,Mark Rendall,The Exploding Girl ,,6.3
Gary Fleder,Dennis Quaid,Nicole Beharie,The Express ,40000000,7.3
Shari Springer Berman,Lynn Cohen,Marian Seldes,The Extra Man ,7000000,5.9
David Moreau,Chloë Grace Moretz,Alessandro Nivola,The Eye ,12000000,5.4
Michael Winterbottom,Cara Delevingne,Ava Acres,The Face of an Angel ,,4.7
Robert Rodriguez,Jordana Brewster,Salma Hayek,The Faculty ,15000000,6.4
Anthony Mann,James Mason,Mel Ferrer,The Fall of the Roman Empire ,19000000,6.7
,Zach Gilford,Joan Allen,The Family             ,,7.5
Brett Ratner,Nicolas Cage,Don Cheadle,The Family Man ,60000000,6.7
Thomas Bezucha,Craig T. Nelson,Paul Schneider,The Family Stone ,17000000,6.3
Tony Scott,Robert De Niro,Kurt Fuller,The Fan ,55000000,5.8
Rob Cohen,Paul Walker,Vin Diesel,The Fast and the Furious ,38000000,6.7
Rob Cohen,Paul Walker,Vin Diesel,The Fast and the Furious ,38000000,6.7
Rob Cohen,Paul Walker,Vin Diesel,The Fast and the Furious ,38000000,6.7
Justin Lin,Amber Stevens West,Zachery Ty Bryan,The Fast and the Furious: Tokyo Drift ,85000000,6
Josh Boone,Shailene Woodley,Sam Trammell,The Fault in Our Stars ,12000000,7.8
Luc Besson,Milla Jovovich,Bruce Willis,The Fifth Element ,93000000,7.7
Bill Condon,Benedict Cumberbatch,Peter Capaldi,The Fifth Estate ,28000000,6.2
David O. Russell,Christian Bale,Jack McGee,The Fighter ,25000000,7.9
David R. Ellis,Krista Allen,Andrew Fiscella,The Final Destination ,40000000,5.2
Craig Gillespie,Michael Raymond-James,Abraham Benrubi,The Finest Hours ,,6.8
Sydney Pollack,Tom Cruise,Holly Hunter,The Firm ,42000000,6.8
Hugh Wilson,Stockard Channing,Elizabeth Berkley,The First Wives Club ,26000000,6.2
Terry Gilliam,Jeff Bridges,David Hyde Pierce,The Fisher King ,24000000,7.6
Nicholas Stoller,Alison Brie,Jacki Weaver,The Five-Year Engagement ,30000000,6.2
Brian Levant,Jonathan Winters,Elizabeth Perkins,The Flintstones ,45000000,4.8
Brian Levant,Taylor Negron,Mark Addy,The Flintstones in Viva Rock Vegas ,60000000,3.6
Claude Chabrol,Benoît Magimel,Nathalie Baye,The Flower of Evil ,,6.6
Yimou Zhang,Christian Bale,Ni Ni,The Flowers of War ,94000000,7.6
John Carpenter,Jamie Lee Curtis,Hal Holbrook,The Fog ,1000000,6.8
John Carpenter,Jamie Lee Curtis,Hal Holbrook,The Fog ,1000000,6.8
,Natalie Zea,Valorie Curry,The Following             ,,7.5
Rob Minkoff,Jet Li,Thomas McDonell,The Forbidden Kingdom ,55000000,6.6
Jason Zada,Eoin Macken,Stephanie Vogt,The Forest ,10000000,4.8
J.S. Cardone,Brendan Fehr,Kerr Smith,The Forsaken ,5000000,5.3
Darren Aronofsky,Hugh Jackman,Ellen Burstyn,The Fountain ,35000000,7.3
Shekhar Kapur,Djimon Hounsou,Lucy Gordon,The Four Feathers ,35000000,6.5
Alan Alda,Rita Moreno,Len Cariou,The Four Seasons ,,7.2
Olatunde Osunsanmi,Milla Jovovich,Will Patton,The Fourth Kind ,10000000,5.9
Brandon Trost,Clifton Collins Jr.,Sean Whalen,The FP ,60000,5.6
William Friedkin,Roy Scheider,Fernando Rey,The French Connection ,1800000,7.8
William Friedkin,Roy Scheider,Fernando Rey,The French Connection ,1800000,7.8
Billy Wilder,Austin Pendleton,Harold Gould,The Front Page ,4000000,7.3
Andrew Hyatt,Noah Segan,Brit Morgan,The Frozen ,250000,4.4
Scott Walker,Nicolas Cage,Radha Mitchell,The Frozen Ground ,27220000,6.4
Andrew Davis,Harrison Ford,Daniel Roebuck,The Fugitive ,44000000,7.8
Peter Cattaneo,Tom Wilkinson,Mark Addy,The Full Monty ,3500000,7.2
Peter Cattaneo,Tom Wilkinson,Mark Addy,The Full Monty ,3500000,7.2
Abel Ferrara,Isabella Rossellini,Vincent Gallo,The Funeral ,12500000,6.6
Travis Cluff,Pfeifer Brown,Cassidy Gifford,The Gallows ,100000,4.2
Rupert Wyatt,George Kennedy,Cjon Saulsberry,The Gambler ,25000000,6
Rupert Wyatt,George Kennedy,Cjon Saulsberry,The Gambler ,25000000,6
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,The Game ,50000000,7.8
David Anspaugh,Gerard Butler,Costas Mandylor,The Game of Their Lives ,20000000,6.2
Andy Fickman,Dwayne Johnson,Kyra Sedgwick,The Game Plan ,22000000,6.2
Dror Moreh,Ami Ayalon,Yuval Diskin,The Gatekeepers ,,7.6
Simon West,Daniel von Bargen,Timothy Hutton,The General's Daughter ,95000000,6.3
Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,The Geographer Drank His Globe Away ,4000000,7.5
Paul Bunnell,Kate Maberly,Kevin McCarthy,The Ghastly Love of Johnny X ,2000000,5.7
Stephen Hopkins,Tom Wilkinson,Bernard Hill,The Ghost and the Darkness ,55000000,6.8
Roman Polanski,Jim Belushi,Olivia Williams,The Ghost Writer ,45000000,7.2
Joel Edgerton,Busy Philipps,Allison Tolman,The Gift ,5000000,7.1
Joel Edgerton,Busy Philipps,Allison Tolman,The Gift ,5000000,7.1
Luke Greenfield,Chris Marquette,Timothy Bottoms,The Girl Next Door ,25000000,6.8
André Téchiné,Catherine Deneuve,Ronit Elkabetz,The Girl on the Train ,,6
David Fincher,Robin Wright,Goran Visnjic,The Girl with the Dragon Tattoo ,90000000,7.8
,Mary Lynn Rajskub,Riley Keough,The Girlfriend Experience             ,,7.3
Phillip Noyce,Jeff Bridges,Meryl Streep,The Giver ,25000000,6.5
Daniel Sackheim,Chris Noth,Bruce Dern,The Glass House ,30000000,5.8
John Gray,Alexa PenaVega,Bob Gunton,The Glimmer Man ,45000000,5.3
Francis Ford Coppola,Al Pacino,Marlon Brando,The Godfather ,6000000,9.2
Francis Ford Coppola,Robert De Niro,Al Pacino,The Godfather: Part II ,13000000,9
Francis Ford Coppola,Al Pacino,Joe Mantegna,The Godfather: Part III ,54000000,7.6
Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,The Golden Child ,25000000,5.9
Chris Weitz,Christopher Lee,Eva Green,The Golden Compass ,180000000,6.1
Peter Sohn,A.J. Buckley,Jack McGraw,The Good Dinosaur ,,6.8
Steven Soderbergh,Tony Curran,Beau Bridges,The Good German ,32000000,6.1
Miguel Arteta,Jake Gyllenhaal,Zooey Deschanel,The Good Girl ,5000000,6.5
Julio DePietro,Adrian Martinez,Scott Porter,The Good Guy ,8000000,5.9
Dagur Kári,Alice Olivia Clarke,Susan Blommaert,The Good Heart ,3800000,6.9
Jake Paltrow,Stephen Graham,Gael Le Cornec,The Good Night ,15000000,5.9
Neil Jordan,Emir Kusturica,Saïd Taghmaoui,The Good Thief ,25000000,6.6
Sergio Leone,Clint Eastwood,Luigi Pistilli,"The Good, the Bad and the Ugly ",1200000,8.9
Jee-woon Kim,Kang-ho Song,Woo-sung Jung,"The Good, the Bad, the Weird ",10000000,7.3
Neal Brennan,Rob Riggle,Noureen DeWulf,"The Goods: Live Hard, Sell Hard ",,5.8
David G. Evans,Michael Joiner,Chris Thomas,The Grace Card ,200000,6.4
,Susan Hampshire,Amanda Mealing,The Grand             ,,7.6
Wes Anderson,Bill Murray,Tom Wilkinson,The Grand Budapest Hotel ,25000000,8.1
Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,The Grandmaster ,38600000,6.5
Paolo Sorrentino,Toni Servillo,Sabrina Ferilli,The Great Beauty ,9200000,7.7
Denzel Washington,Denzel Washington,Jurnee Smollett-Bell,The Great Debaters ,15000000,7.6
John Sturges,James Coburn,Donald Pleasence,The Great Escape ,4000000,8.3
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,The Great Gatsby ,105000000,7.3
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,The Great Gatsby ,105000000,7.3
John Dahl,James Franco,Clayne Crawford,The Great Raid ,80000000,6.7
Michael Crichton,Lesley-Anne Down,Michael Elphick,The Great Train Robbery ,6000000,7
Shana Feste,Jennifer Ehle,Zoë Kravitz,The Greatest ,6000000,6.7
Bill Paxton,Stephen Dillane,Matthew Knight,The Greatest Game Ever Played ,,7.5
Morgan Spurlock,Quentin Tarantino,J.J. Abrams,The Greatest Movie Ever Sold ,1500000,6.6
Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,The Greatest Show on Earth ,4000000,6.7
George Stevens,Martin Landau,Carroll Baker,The Greatest Story Ever Told ,20000000,6.6
Michel Gondry,Christoph Waltz,Tom Wilkinson,The Green Hornet ,120000000,5.8
Eli Roth,Daryl Sabara,Richard Burgi,The Green Inferno ,6000000,5.4
Frank Darabont,Tom Hanks,Jeffrey DeMunn,The Green Mile ,60000000,8.5
Joe Carnahan,Liam Neeson,Frank Grillo,The Grey ,25000000,6.8
Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,The Grudge ,10000000,5.9
Takashi Shimizu,Sarah Michelle Gellar,Sarah Roemer,The Grudge 2,20000000,5
John Michael McDonagh,Don Cheadle,Fionnula Flanagan,The Guard ,6000000,7.3
Anne Fletcher,Miriam Margolyes,Tom Virtue,The Guilt Trip ,40000000,5.8
Pierre Morel,Ray Winstone,Mark Rylance,The Gunman ,40000000,5.8
Daisy von Scherler Mayer,Michael McKean,Dash Mihok,The Guru ,11000000,5.4
Bill Benenson,Alfre Woodard,Dave Fennoy,The Hadza: Last of the First ,650000,7.4
Charles Herman-Wurmfeld,John Enos III,Rian Bishop,The Hammer ,850000,7.3
Todd Phillips,Bradley Cooper,Rob Riggle,The Hangover ,35000000,7.8
Todd Phillips,Bradley Cooper,Mason Lee,The Hangover Part II ,80000000,6.5
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,The Happening ,48000000,5
U. Roberto Romano,,,The Harvest/La Cosecha ,560000,7.2
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,The Hateful Eight ,44000000,7.9
Rob Minkoff,Marsha Thomason,Rachael Harris,The Haunted Mansion ,90000000,4.9
Jan de Bont,Liam Neeson,Lili Taylor,The Haunting ,80000000,4.9
Tom Elkins,Abigail Spencer,Cicely Tyson,The Haunting in Connecticut 2: Ghosts of Georgia,9000000,5.3
Mickey Liddell,Jessica Lowndes,Randy Wayne,The Haunting of Molly Hartley ,5000000,3.8
Thaddeus O'Sullivan,Olivia Williams,Luke Newberry,The Heart of Me ,7000000,6.7
Paul Feig,Michael Rapaport,William Xifaras,The Heat ,43000000,6.6
Jonathan Kesselman,Judy Greer,Adam Goldberg,The Hebrew Hammer ,1000000,6.2
A. Raven Cruz,Scott Levy,Vanilla Ice,The Helix... Loaded ,1000000,1.9
Tate Taylor,Emma Stone,Bryce Dallas Howard,The Help ,25000000,8.1
Alexandre Aja,Dan Byrd,Greg Nicotero,The Hills Have Eyes ,15000000,6.4
Martin Weisz,Jeff Kober,Daniella Alonso,The Hills Have Eyes II ,15000000,5.1
Nicholas Hytner,Dominic Cooper,Russell Tovey,The History Boys ,2000000,6.9
William Kaufman,Drew Waters,Sean Cook,The Hit List ,6000000,5.4
Garth Jennings,Zooey Deschanel,Kelly Macdonald,The Hitchhiker's Guide to the Galaxy ,50000000,6.8
Lasse Hallström,Hope Davis,Christopher Evan Welch,The Hoax ,25000000,6.7
Peter Jackson,Aidan Turner,Adam Brown,The Hobbit: An Unexpected Journey ,180000000,7.9
Peter Jackson,Aidan Turner,Adam Brown,The Hobbit: The Battle of the Five Armies ,250000000,7.5
Peter Jackson,Aidan Turner,Adam Brown,The Hobbit: The Desolation of Smaug ,225000000,7.9
Joe Dante,Bruce Dern,Teri Polo,The Hole ,12000000,5.7
Nancy Meyers,Kate Winslet,Rufus Sewell,The Holiday ,85000000,6.9
Lucrecia Martel,Mía Maestro,Mercedes Morán,The Holy Girl ,1400000,6.7
Tommy Lee Jones,Barry Corbin,Tim Blake Nelson,The Homesman ,16000000,6.6
,Jackie Gleason,Art Carney,The Honeymooners             ,,8.7
Brian Dorton,Javier Botet,Brian Dorton,The Horror Network Vol. 1,3000000,7.3
Michel Orion Scott,Temple Grandin,Rowan Isaacson,The Horse Boy ,160000,7.4
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,The Horse Whisperer ,60000000,6.5
Jean-Paul Rappeneau,Olivier Martinez,François Cluzet,The Horseman on the Roof ,,7.1
Andrew Niccol,J.D. Evermore,Chandler Canterbury,The Host ,40000000,5.9
Joon-ho Bong,Doona Bae,Kang-ho Song,The Host ,12215500000,7
Tony Richardson,Joely Richardson,Beau Bridges,The Hotel New Hampshire ,7500000,6
Stephen Daldry,Meryl Streep,Stephen Dillane,The Hours ,25000000,7.6
Fred Wolf,Emma Stone,Katharine McPhee,The House Bunny ,25000000,5.5
Terence Davies,Eric Stoltz,Anthony LaPaglia,The House of Mirth ,10000000,7.1
Ti West,Lena Dunham,Greta Gerwig,The House of the Devil ,900000,6.4
Joe Dante,Patrick Macnee,Robert Picardo,The Howling ,1000000,6.6
Joel Coen,Jennifer Jason Leigh,Bill Cobbs,The Hudsucker Proxy ,30000000,7.3
Gary Trousdale,Demi Moore,Jason Alexander,The Hunchback of Notre Dame ,100000000,6.9
Lasse Hallström,Manish Dayal,Charlotte Le Bon,The Hundred-Foot Journey ,22000000,7.3
Gary Ross,Jennifer Lawrence,Josh Hutcherson,The Hunger Games ,78000000,7.3
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,The Hunger Games: Catching Fire ,130000000,7.6
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,The Hunger Games: Mockingjay - Part 1,125000000,6.7
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,The Hunger Games: Mockingjay - Part 2,160000000,6.6
Thomas Vinterberg,Thomas Bo Larsen,Alexandra Rapaport,The Hunt ,3800000,8.3
John McTiernan,Scott Glenn,Jeffrey Jones,The Hunt for Red October ,30000000,7.6
William Friedkin,Connie Nielsen,Jenna Boyd,The Hunted ,55000000,6
Richard Shepard,James Brolin,Zan Marolt,The Hunting Party ,25000000,6.9
Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,The Huntsman: Winter's War ,115000000,6.1
Norman Jewison,Denzel Washington,Vincent Pastore,The Hurricane ,38000000,7.6
Kathryn Bigelow,Jeremy Renner,Christian Camargo,The Hurt Locker ,15000000,7.6
Robert Rossen,George C. Scott,Jackie Gleason,The Hustler ,2000000,8
Roland Suso Richter,Stephen Graham,Sarah Polley,The I Inside ,8800000,6.1
Stewart Raffill,Anjelica Huston,John Carradine,The Ice Pirates ,9000000,5.7
Ang Lee,Joan Allen,Kate Burton,The Ice Storm ,18000000,7.5
Ariel Vromen,Chris Evans,James Franco,The Iceman ,10000000,6.9
George Clooney,Ryan Gosling,Philip Seymour Hoffman,The Ides of March ,12500000,7.1
Neil Burger,Rufus Sewell,Eddie Marsan,The Illusionist ,16000000,7.6
Neil Burger,Rufus Sewell,Eddie Marsan,The Illusionist ,16000000,7.6
Patrick Meaney,Taliesin Jaffe,Greg Aronowitz,The Image Revolution ,50000,7.4
Terry Gilliam,Andrew Garfield,Lily Cole,The Imaginarium of Doctor Parnassus ,40000000,6.8
Morten Tyldum,Benedict Cumberbatch,Rory Kinnear,The Imitation Game ,14000000,8.1
James Gray,Jeremy Renner,Dagmara Dominczyk,The Immigrant ,16000000,6.6
Oliver Parker,Colin Firth,Tom Wilkinson,The Importance of Being Earnest ,15000000,6.9
J.A. Bayona,Naomi Watts,Geraldine Chaplin,The Impossible ,45000000,7.6
Mary Lambert,Matthew Settle,Susan Ward,The In Crowd ,15000000,4.6
,Simon Bird,Belinda Stewart-Wilson,The Inbetweeners             ,,8.4
Don Scardino,Steve Buscemi,Olivia Wilde,The Incredible Burt Wonderstone ,30000000,5.9
Louis Leterrier,Ty Burrell,Peter Mensah,The Incredible Hulk ,150000000,6.8
Brad Bird,Holly Hunter,Craig T. Nelson,The Incredibles ,92000000,8
Maria Maggenti,Nicole Ari Parker,Laurel Holloman,The Incredibly True Adventure of Two Girls in Love ,250000,6.5
Frank Oz,Steve Coogan,Vincent Kartheiser,The Indian in the Cupboard ,45000000,5.9
Brad Furman,Joseph Gilgun,Amy Ryan,The Infiltrator ,25000000,7.3
Steven Soderbergh,Matt Damon,Joel McHale,The Informant! ,21000000,6.5
Gregor Jordan,Austin Nichols,Brad Renfro,The Informers ,18000000,5.1
Matty Rich,Jada Pinkett Smith,Joe Morton,The Inkwell ,,6.5
Ti West,Lena Dunham,Jake Ryan,The Innkeepers ,750000,5.5
Michael Mann,Al Pacino,Rip Torn,The Insider ,68000000,7.9
Nancy Meyers,Robert De Niro,Anne Hathaway,The Intern ,35000000,7.2
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,The International ,50000000,6.5
Shawn Levy,Josh Gad,Jessica Szohr,The Internship ,58000000,6.3
Sydney Pollack,Curtiss Cook,George Harris,The Interpreter ,80000000,6.4
Evan Goldberg,James Franco,Randall Park,The Interview ,44000000,6.6
Oliver Hirschbiegel,Roger Rees,Veronica Cartwright,The Invasion ,80000000,5.9
Ricky Gervais,Jennifer Garner,Tina Fey,The Invention of Lying ,18500000,6.4
Brad Bird,Vin Diesel,Harry Connick Jr.,The Iron Giant ,70000000,8
Phyllida Lloyd,Meryl Streep,Jim Broadbent,The Iron Lady ,13000000,6.4
Michael Bay,Scarlett Johansson,Steve Buscemi,The Island ,126000000,6.9
Michael Bay,Scarlett Johansson,Steve Buscemi,The Island ,126000000,6.9
John Frankenheimer,Marlon Brando,Temuera Morrison,The Island of Dr. Moreau ,40000000,4.4
F. Gary Gray,Jason Statham,Charlize Theron,The Italian Job ,60000000,7
Michael Caton-Jones,J.K. Simmons,Bruce Willis,The Jackal ,60000000,6.3
John Maybury,Jennifer Jason Leigh,Jason Lewis,The Jacket ,29000000,7.1
Marcus Raboy,Mike Epps,Tamala Jones,The Janky Promoters ,,5.2
James Melkonian,Vincent Pastore,William Hickey,The Jerky Boys ,,4.6
Frank Whaley,Lynn Cohen,Frank Whaley,The Jimmy Show ,1500000,5.4
Derrick Borte,Demi Moore,Gary Cole,The Joneses ,5000000,6.5
David Dobkin,Robert Downey Jr.,Robert Duvall,The Judge ,50000000,7.4
Jon Favreau,Scarlett Johansson,Bill Murray,The Jungle Book ,175000000,7.8
Jon Favreau,Scarlett Johansson,Bill Murray,The Jungle Book ,175000000,7.8
Steve Trenbirth,Haley Joel Osment,Phil Collins,The Jungle Book 2,20000000,5.4
Brian Gibson,Joseph Gordon-Levitt,Demi Moore,The Juror ,44000000,5.6
John G. Avildsen,Martin Kove,William Zabka,The Karate Kid ,8000000,7.2
John G. Avildsen,Martin Kove,William Zabka,The Karate Kid ,8000000,7.2
John Landis,David Zucker,Barry Dennen,The Kentucky Fried Movie ,650000,6.5
Jon Turteltaub,Bruce Willis,Lily Tomlin,The Kid ,60000000,6.1
Lisa Cholodenko,Josh Hutcherson,Mia Wasikowska,The Kids Are All Right ,3500000,7.1
Michael Winterbottom,Liam Aiken,Ned Beatty,The Killer Inside Me ,13000000,6.1
Fernando Baez Mella,Manny Perez,Christian Alvarez,The King of Najayo ,500000,6.9
Tom Hooper,Colin Firth,Jennifer Ehle,The King's Speech ,15000000,8
Peter Berg,Jennifer Garner,Frances Fisher,The Kingdom ,70000000,7.1
Marc Forster,Mustafa Haidari,Shaun Toub,The Kite Runner ,20000000,7.6
Tom Sanchez,Nataniel Sánchez,Antonio Arrué,The Knife of Don Juan ,1200000,7.2
Reginald Hudlin,Will Ferrell,John Witherspoon,The Ladies Man ,11000000,5.1
Orson Welles,Rita Hayworth,Everett Sloane,The Lady from Shanghai ,2300000,7.7
Ethan Coen,J.K. Simmons,Tom Hanks,The Ladykillers ,35000000,6.2
Alejandro Agresti,Keanu Reeves,Dylan Walsh,The Lake House ,40000000,6.8
Don Bluth,Judith Barsi,Gabriel Damon,The Land Before Time ,12500000,7.3
David Leland,Anna Friel,Catherine McCormack,The Land Girls ,,6.3
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,The Last Airbender ,150000000,4.2
Dan Zukovic,Yul Vazquez,Louis Mustillo,The Last Big Thing ,,6.9
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,The Last Castle ,60000000,6.9
Ruairi Robinson,Romola Garai,Olivia Williams,The Last Days on Mars ,7000000,5.5
Michael Schultz,Mike Starr,Vanity,The Last Dragon ,10000000,6.9
Bernardo Bertolucci,Cary-Hiroyuki Tagawa,Joan Chen,The Last Emperor ,23000000,7.8
Daniel Stamm,Caleb Landry Jones,Ashley Bell,The Last Exorcism ,1800000,5.6
Ed Gass-Donnelly,Muse Watson,Spencer Treat Clark,The Last Exorcism Part II ,5000000,4
Richard LaGravenese,Anna Kendrick,Jeremy Jordan,The Last Five Years ,,5.9
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,The Last Godfather ,13400000,3.6
Dennis Iliadis,Tony Goldwyn,Monica Potter,The Last House on the Left ,15000000,6.6
Dennis Iliadis,Tony Goldwyn,Monica Potter,The Last House on the Left ,15000000,6.6
Kevin Macdonald,David Oyelowo,Simon McBurney,The Last King of Scotland ,6000000,7.7
Doug Lefler,Colin Firth,Nonso Anozie,The Last Legion ,35000000,5.4
Michael Mann,Wes Studi,Terry Kinney,The Last of the Mohicans ,40000000,7.8
Edward Zwick,Tom Cruise,Tony Goldwyn,The Last Samurai ,140000000,7.7
Jeff Nathanson,Matthew Broderick,Glenn Morshower,The Last Shot ,,5.7
Michael Landon Jr.,Henry Thomas,Louise Fletcher,The Last Sin Eater ,2200000,5.9
Julie Anne Robinson,Kelly Preston,Bobby Coleman,The Last Song ,20000000,5.8
Jee-woon Kim,Zach Gilford,James Burnett,The Last Stand ,45000000,6.4
Michael Hoffman,David Masterson,Kerry Condon,The Last Station ,13000000,7
Martin Scorsese,Irvin Kershner,Barbara Hershey,The Last Temptation of Christ ,7000000,7.6
Stephen Kay,Keanu Reeves,Marg Helgenberger,The Last Time I Committed Suicide ,4000000,5.8
Martin Scorsese,Ringo Starr,Levon Helm,The Last Waltz ,,8.2
Breck Eisner,Vin Diesel,Joseph Gilgun,The Last Witch Hunter ,90000000,6
Brett Leonard,Jeff Fahey,Austin O'Brien,The Lawnmower Man ,10000000,5.4
David Gelb,Olivia Wilde,Mark Duplass,The Lazarus Effect ,3300000,5.2
Stephen Norrington,Jason Flemyng,Max Ryan,The League of Extraordinary Gentlemen ,78000000,5.8
Robert Redford,Matt Damon,Will Smith,The Legend of Bagger Vance ,60000000,6.7
Chia-Liang Liu,Andy Lau,Anita Mui,The Legend of Drunken Master ,2000000,7.6
Mike Bruce,Joseph Campanella,Kirpatrick Thomas,The Legend of God's Gun ,30000,4.1
Tanner Beard,William McNamara,Kevin Alejandro,The Legend of Hell's Gate: An American Conspiracy ,2000000,4.4
Renny Harlin,Roxanne McKee,Luke Newberry,The Legend of Hercules ,70000000,4.2
Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,The Legend of Suriyothai ,400000000,6.6
David Yates,Christoph Waltz,Alexander Skarsgård,The Legend of Tarzan ,180000000,6.6
David Yates,Christoph Waltz,Alexander Skarsgård,The Legend of Tarzan ,180000000,6.6
William A. Fraker,Jason Robards,Richard Farnsworth,The Legend of the Lone Ranger ,18000000,5
Martin Campbell,Michael Emerson,Nick Chinlund,The Legend of Zorro ,75000000,5.9
Phil Lord,Morgan Freeman,Will Ferrell,The Lego Movie ,60000000,7.8
